Process ID	Country/Ocean	State/Province
MHTRI072-06	Canada	Manitoba
MHTRI073-06	Canada	Manitoba
MHTRI074-06	Canada	Manitoba
MHTRI075-06	Canada	Manitoba
MHTRI076-06	Canada	Manitoba
MHTRI077-06	Canada	Manitoba
MHTRI078-06	Canada	Manitoba
MHTRI079-06	Canada	Manitoba
MHTRI080-06	Canada	Manitoba
MHTRI082-06	Canada	Manitoba
MHTRI083-06	Canada	Manitoba
MHTRI084-06	Canada	Manitoba
MHTRI085-06	Canada	Manitoba
MHTRI086-06	Canada	Manitoba
MHTRI087-06	Canada	Manitoba
MHTRI088-06	Canada	Manitoba
MHTRI089-06	Canada	Manitoba
MHTRI090-06	Canada	Manitoba
MHTRI091-06	Canada	Manitoba
MHTRI092-06	Canada	Manitoba
MHTRI093-06	Canada	Manitoba
MHTRI094-06	Canada	Manitoba
DSTRI154-07	Canada	Manitoba
DSTRI155-07	Canada	Manitoba
DSTRI157-07	Canada	Manitoba
DSTRI158-07	Canada	Manitoba
DSTRI159-07	Canada	Manitoba
DSTRI160-07	Canada	Manitoba
DSTRI161-07	Canada	Manitoba
DSTRI162-07	Canada	Manitoba
DSTRI163-07	Canada	Manitoba
DSTRI164-07	Canada	Manitoba
DSTRI165-07	Canada	Manitoba
DSTRI166-07	Canada	Manitoba
DSTRI167-07	Canada	Manitoba
DSTRI168-07	Canada	Manitoba
DSTRI169-07	Canada	Manitoba
DSTRI170-07	Canada	Manitoba
DSTRI171-07	Canada	Manitoba
DSTRI172-07	Canada	Manitoba
DSTRI173-07	Canada	Manitoba
DSTRI174-07	Canada	Manitoba
DSTRI176-07	Canada	Manitoba
DSTRI177-07	Canada	Manitoba
DSTRI186-07	Canada	Manitoba
DSTRI187-07	Canada	Manitoba
DSTRI188-07	Canada	Manitoba
DSTRI189-07	Canada	Manitoba
DSTRI191-07	Canada	Manitoba
DSTRI192-07	Canada	Manitoba
DSTRI193-07	Canada	Manitoba
DSTRI194-07	Canada	Manitoba
DSTRI195-07	Canada	Manitoba
DSTRI196-07	Canada	Manitoba
DSTRI197-07	Canada	Manitoba
DSTRI198-07	Canada	Manitoba
DSTRI199-07	Canada	Manitoba
DSTRI200-07	Canada	Manitoba
DSTRI201-07	Canada	Manitoba
DSTRI202-07	Canada	Manitoba
DSTRI203-07	Canada	Manitoba
DSTRI204-07	Canada	Manitoba
DSTRI205-07	Canada	Manitoba
DSTRI206-07	Canada	Manitoba
DSTRI207-07	Canada	Manitoba
DSTRI208-07	Canada	Manitoba
DSTRI209-07	Canada	Manitoba
DSTRI210-07	Canada	Manitoba
DSTRI211-07	Canada	Manitoba
DSTRI213-07	Canada	Manitoba
DSTRI214-07	Canada	Manitoba
DSTRI215-07	Canada	Manitoba
DSTRI216-07	Canada	Manitoba
DSTRI217-07	Canada	Manitoba
DSTRI218-07	Canada	Manitoba
DSTRI219-07	Canada	Manitoba
DSTRI220-07	Canada	Manitoba
RMCAD002-07	Canada	Ontario
RMCAD003-07	United States	Michigan
RMCAD020-07	Canada	Quebec
RMCAD069-07	Canada	Ontario
RMCAD080-07	Canada	Yukon Territory
RMCAD083-07	Canada	Yukon Territory
DSTRI221-07	Canada	Manitoba
DSTRI222-07	Canada	Manitoba
DSTRI223-07	Canada	Manitoba
DSTRI224-07	Canada	Manitoba
DSTRI225-07	Canada	Manitoba
DSTRI226-07	Canada	Manitoba
DSTRI227-07	Canada	Manitoba
DSTRI228-07	Canada	Manitoba
DSTRI229-07	Canada	Manitoba
DSTRI230-07	Canada	Manitoba
DSTRI231-07	Canada	Manitoba
DSTRI232-07	Canada	Manitoba
DSTRI233-07	Canada	Manitoba
DSTRI234-07	Canada	Manitoba
DSTRI235-07	Canada	Manitoba
DSTRI236-07	Canada	Manitoba
DSTRI237-07	Canada	Manitoba
DSTRI238-07	Canada	Manitoba
DSTRI239-07	Canada	Manitoba
DSTRI240-07	Canada	Manitoba
DSTRI241-07	Canada	Manitoba
DSTRI242-07	Canada	Manitoba
DSTRI243-07	Canada	Manitoba
DSTRI244-07	Canada	Manitoba
DSTRI245-07	Canada	Manitoba
DSTRI246-07	Canada	Manitoba
DSTRI247-07	Canada	Manitoba
DSTRI248-07	Canada	Manitoba
DSTRI249-07	Canada	Manitoba
DSTRI250-07	Canada	Manitoba
DSTRI251-07	Canada	Manitoba
DSTRI253-07	Canada	Manitoba
DSTRI255-07	Canada	Manitoba
DSTRI256-07	Canada	Manitoba
DSTRI257-07	Canada	Manitoba
DSTRI258-07	Canada	Manitoba
DSTRI259-07	Canada	Manitoba
DSTRI260-07	Canada	Manitoba
DSTRI261-07	Canada	Manitoba
DSTRI262-07	Canada	Manitoba
DSTRI265-07	Canada	Manitoba
DSTRI266-07	Canada	Manitoba
DSTRI267-07	Canada	Manitoba
DSTRI268-07	Canada	Manitoba
DSTRI270-07	Canada	Manitoba
DSTRI272-07	Canada	Manitoba
DSTRI273-07	Canada	Manitoba
DSTRI274-07	Canada	Manitoba
DSTRI275-07	Canada	Manitoba
DSTRI276-07	Canada	Manitoba
DSTRI277-07	Canada	Manitoba
DSTRI278-07	Canada	Manitoba
DSTRI279-07	Canada	Manitoba
DSTRI280-07	Canada	Manitoba
DSTRI281-07	Canada	Manitoba
DSTRI282-07	Canada	Manitoba
DSTRI283-07	Canada	Manitoba
DSTRI284-07	Canada	Manitoba
DSTRI285-07	Canada	Manitoba
DSTRI286-07	Canada	Manitoba
DSTRI287-07	Canada	Manitoba
DSTRI288-07	Canada	Manitoba
DSTRI289-07	Canada	Manitoba
DSTRI290-07	Canada	Manitoba
DSTRI291-07	Canada	Manitoba
DSTRI292-07	Canada	Manitoba
DSTRI293-07	Canada	Manitoba
DSTRI294-07	Canada	Manitoba
DSTRI295-07	Canada	Manitoba
DSTRI296-07	Canada	Manitoba
DSTRI297-07	Canada	Manitoba
DSTRI298-07	Canada	Manitoba
DSTRI299-07	Canada	Manitoba
DSTRI300-07	Canada	Manitoba
DSTRI301-07	Canada	Manitoba
DSTRI302-07	Canada	Manitoba
DSTRI303-07	Canada	Manitoba
DSTRI304-07	Canada	Manitoba
DSTRI305-07	Canada	Manitoba
DSTRI306-07	Canada	Manitoba
DSTRI307-07	Canada	Manitoba
DSTRI308-07	Canada	Manitoba
DSTRI309-07	Canada	Manitoba
DSTRI310-07	Canada	Manitoba
DSTRI311-07	Canada	Manitoba
DSTRI313-07	Canada	Manitoba
DSTRI314-07	Canada	Manitoba
DSTRI315-07	Canada	Manitoba
DSTRI316-07	Canada	Manitoba
DSTRI317-07	Canada	Manitoba
DSTRI318-07	Canada	Manitoba
DSTRI319-07	Canada	Manitoba
DSTRI320-07	Canada	Manitoba
DSTRI321-07	Canada	Manitoba
DSTRI322-07	Canada	Manitoba
DSTRI323-07	Canada	Manitoba
DSTRI324-07	Canada	Manitoba
DSTRI326-07	Canada	Manitoba
DSTRI328-07	Canada	Manitoba
DSTRI329-07	Canada	Manitoba
DSTRI330-07	Canada	Manitoba
DSTRI331-07	Canada	Manitoba
DSTRI332-07	Canada	Manitoba
DSTRI333-07	Canada	Manitoba
DSTRI334-07	Canada	Manitoba
DSTRI335-07	Canada	Manitoba
DSTRI336-07	Canada	Manitoba
DSTRI337-07	Canada	Manitoba
DSTRI338-07	Canada	Manitoba
DSTRI339-07	Canada	Manitoba
DSTRI340-07	Canada	Manitoba
DSTRI341-07	Canada	Manitoba
DSTRI342-07	Canada	Manitoba
DSTRI343-07	Canada	Manitoba
DSTRI344-07	Canada	Manitoba
DSTRI345-07	Canada	Manitoba
DSTRI346-07	Canada	Manitoba
DSTRI347-07	Canada	Manitoba
DSTRI349-07	Canada	Manitoba
DSTRI350-07	Canada	Manitoba
DSTRI352-07	Canada	Manitoba
DSTRI353-07	Canada	Manitoba
DSTRI354-07	Canada	Manitoba
DSTRI356-07	Canada	Manitoba
DSTRI358-07	Canada	Manitoba
DSTRI360-07	Canada	Manitoba
DSTRI361-07	Canada	Manitoba
DSTRI362-07	Canada	Manitoba
DSTRI363-07	Canada	Manitoba
DSTRI364-07	Canada	Manitoba
DSTRI365-07	Canada	Manitoba
DSTRI366-07	Canada	Manitoba
DSTRI367-07	Canada	Manitoba
DSTRI368-07	Canada	Manitoba
DSTRI369-07	Canada	Manitoba
DSTRI370-07	Canada	Manitoba
DSTRI371-07	Canada	Manitoba
DSTRI372-07	Canada	Manitoba
DSTRI373-07	Canada	Manitoba
DSTRI374-07	Canada	Manitoba
DSTRI375-07	Canada	Manitoba
DSTRI376-07	Canada	Manitoba
DSTRI377-07	Canada	Manitoba
DSTRI378-07	Canada	Manitoba
DSTRI379-07	Canada	Manitoba
DSTRI380-07	Canada	Manitoba
DSTRI381-07	Canada	Manitoba
DSTRI382-07	Canada	Manitoba
DSTRI384-07	Canada	Manitoba
DSTRI387-07	Canada	Manitoba
DSTRI388-07	Canada	Manitoba
DSTRI389-07	Canada	Manitoba
DSTRI390-07	Canada	Manitoba
DSTRI391-07	Canada	Manitoba
DSTRI393-07	Canada	Manitoba
DSTRI394-07	Canada	Manitoba
DSTRI395-07	Canada	Manitoba
DSTRI396-07	Canada	Manitoba
DSTRI397-07	Canada	Manitoba
DSTRI398-07	Canada	Manitoba
DSTRI399-07	Canada	Manitoba
DSTRI400-07	Canada	Manitoba
DSTRI401-07	Canada	Manitoba
DSTRI403-07	Canada	Manitoba
DSTRI404-07	Canada	Manitoba
DSTRI405-07	Canada	Manitoba
DSTRI406-07	Canada	Manitoba
DSTRI407-07	Canada	Manitoba
